user_id,age,income,subscription_status
1,35,$14054.63,false
2,64,$2953.28,true
3,51,$10983.63,false
4,42,$2016.10,true
5,23,$7051.47,false
6,21,$5703.60,false
7,67,$9801.16,false
8,47,$8681.40,false
9,41,$9036.41,false
10,65,$1795.91,true
11,55,$7860.26,false
12,34,$6271.86,true
13,25,$14548.89,false
14,54,$6419.93,true
15,58,$8464.33,true
16,23,$2210.13,true
17,23,$13596.85,false
18,42,$6129.82,true
19,41,$12349.78,false
20,38,$1952.54,true
21,20,$13662.47,false
22,26,$8108.67,true
23,20,$5584.74,false
24,39,$8324.00,true
25,32,$14895.48,true
26,22,$2248.98,true
27,27,$9996.59,true
28,45,$8184.12,true
29,44,$8871.49,true
30,52,$10894.02,false
31,31,$4743.11,false
32,53,$9370.14,true
33,41,$12424.62,true
34,61,$12249.60,false
35,69,$8834.58,false
36,57,$6073.41,true
37,44,$5021.02,true
38,32,$12782.83,true
39,48,$13933.55,true
40,65,$10100.77,true
41,21,$10390.99,true
42,44,$12834.94,false
43,70,$1901.84,false
44,47,$6412.97,true
45,58,$7595.07,false
46,48,$10240.03,false
47,56,$3740.41,true
48,44,$7317.54,false
49,53,$7207.14,false
50,42,$4531.26,true
51,45,$10828.48,false
52,45,$11451.64,false
53,48,$10888.18,false
54,27,$2083.91,true
55,26,$6994.20,false
56,35,$7167.86,true
57,25,$2781.96,true
58,24,$5939.04,true
59,50,$11989.23,false
60,26,$3866.93,false
61,70,$2551.48,false
62,40,$7528.90,true
63,61,$14884.37,false
64,65,$12569.72,true
65,50,$7776.89,true
66,67,$9327.56,true
67,44,$3005.41,false
68,20,$4232.08,true
69,42,$9580.60,true
70,55,$12831.10,true
71,70,$10624.98,true
72,61,$12203.74,true
73,45,$5031.74,true
74,47,$2792.46,false
75,22,$4971.18,false
76,35,$6176.62,true
77,69,$2552.94,false
78,54,$5031.00,false
79,64,$3739.49,true
80,44,$13893.51,true
81,37,$7040.80,false
82,34,$3783.29,false
83,31,$5215.87,true
84,40,$4897.30,true
85,62,$3214.18,true
86,54,$1682.49,false
87,35,$2286.93,true
88,33,$7149.55,false
89,53,$5583.49,true
90,21,$9403.44,true
91,46,$3999.94,false
92,53,$14553.13,true
93,21,$2234.33,false
94,52,$2041.92,false
95,22,$8939.34,true
96,51,$12601.71,true
97,58,$11735.90,true
98,47,$14109.48,true
99,18,$4679.82,false
100,50,$14377.70,true
101,39,$7094.99,true
102,63,$1636.64,false
103,45,$13981.88,true
104,57,$8329.06,true
105,47,$3272.24,false
106,18,$5048.75,false
107,42,$8217.62,false
108,62,$3360.91,true
109,46,$2399.40,false
110,25,$4299.04,true
111,29,$7540.35,false
112,36,$10750.89,false
113,57,$3374.25,false
114,57,$7768.77,true
115,63,$12829.71,true
116,63,$7902.62,false
117,34,$5390.09,false
118,30,$10400.97,true
119,26,$11392.10,true
120,42,$7542.09,false
121,45,$8697.89,true
122,41,$13494.11,true
123,33,$13388.90,false
124,47,$9391.67,true
125,35,$12297.08,false
126,56,$4960.55,false
127,30,$14688.99,false
128,31,$13677.99,false
129,27,$7135.30,true
130,46,$8474.64,false
131,38,$14336.65,false
132,38,$2245.62,true
133,36,$5023.26,false
134,48,$4695.43,false
135,31,$2310.25,false
136,19,$11093.38,false
137,25,$10072.13,true
138,36,$6409.55,false
139,38,$1768.04,false
140,53,$9830.71,false
141,54,$6031.61,false
142,27,$7556.68,false
143,65,$13733.46,true
144,18,$10744.23,true
145,33,$12256.65,false
146,58,$4618.57,false
147,34,$7329.04,false
148,65,$9876.56,false
149,35,$12051.04,false
150,61,$6863.17,true
151,52,$6148.01,true
152,63,$5634.36,true
153,59,$10608.50,false
154,60,$13499.41,true
155,64,$7257.64,true
156,58,$3963.89,false
157,37,$8040.07,false
158,30,$8540.73,false
159,34,$12456.18,false
160,54,$3169.00,true
161,23,$3389.82,false
162,70,$1745.78,false
163,61,$5117.88,true
164,45,$7464.24,false
165,23,$4297.89,false
166,46,$6699.70,true
167,49,$9732.43,true
168,63,$9269.96,false
169,37,$13337.24,false
170,51,$5355.34,true
171,49,$9982.04,false
172,65,$8236.74,true
173,70,$4156.64,true
174,68,$5458.18,false
175,63,$2555.82,true
176,22,$10560.22,true
177,28,$9135.40,true
178,35,$12865.97,false
179,38,$8252.12,true
180,40,$5893.38,true
181,60,$7360.04,true
182,61,$11417.72,false
183,34,$1528.21,true
184,32,$14651.81,false
185,67,$14826.73,true
186,43,$5969.69,true
187,40,$9053.66,true
188,57,$11408.46,false
189,65,$8179.31,false
190,28,$7771.82,false
191,20,$7284.30,false
192,54,$14753.92,false
193,59,$1866.40,false
194,44,$7374.20,true
195,29,$3914.81,false
196,29,$11331.41,true
197,26,$4150.86,true
198,41,$13425.39,false
199,66,$9053.86,false
200,40,$6352.25,false
201,50,$8658.81,true
202,68,$1744.05,true
203,32,$12833.22,false
204,36,$7960.17,false
205,59,$3456.19,false
206,56,$12546.75,true
207,52,$4399.55,false
208,27,$4935.88,true
209,43,$2521.06,false
210,37,$13034.67,true
211,25,$7765.10,true
212,60,$10772.07,false
213,50,$14017.33,true
214,52,$4417.31,true
215,52,$14967.11,true
216,37,$1828.51,false
217,62,$14474.63,false
218,33,$4851.35,true
219,62,$8696.21,false
220,59,$5457.02,true
221,43,$13332.72,true
222,67,$12857.97,false
223,67,$5152.86,false
224,34,$6469.48,false
225,67,$10594.28,true
226,64,$14758.16,false
227,30,$14499.54,true
228,69,$4961.34,false
229,69,$8586.50,true
230,45,$13061.99,false
231,18,$5849.59,false
232,20,$6589.46,true
233,35,$3225.77,true
234,70,$3566.05,false
235,59,$7927.81,false
236,47,$3819.31,true
237,28,$2829.77,true
238,36,$3919.85,false
239,24,$3514.57,true
240,58,$9795.11,false
241,50,$2141.70,true
242,22,$8114.32,false
243,43,$14005.33,false
244,50,$3492.54,false
245,38,$14579.04,false
246,27,$8447.87,true
247,68,$6910.11,true
248,48,$3578.86,true
249,22,$6530.87,true
250,37,$8516.89,true
251,58,$6414.63,false
252,52,$9687.05,true
253,48,$5945.89,false
254,40,$8194.30,true
255,47,$8101.67,true
256,38,$11471.93,true
257,64,$10473.38,true
258,28,$9511.39,false
259,27,$3499.15,false
260,65,$10928.36,false
261,58,$7747.15,true
262,66,$4951.61,true
263,39,$5449.60,false
264,60,$5927.69,false
265,61,$5707.92,true
266,43,$14732.20,false
267,21,$12415.41,false
268,54,$8397.14,false
269,30,$3688.03,false
270,61,$3793.48,true
271,63,$9226.23,false
272,45,$7043.10,true
273,65,$5387.80,false
274,56,$6340.81,true
275,39,$4555.70,false
276,36,$2593.11,true
277,65,$7147.98,false
278,24,$11386.52,false
279,41,$5057.91,false
280,52,$8849.27,false
281,49,$3870.26,true
282,60,$8273.61,true
283,38,$9011.92,true
284,60,$10713.07,true
285,54,$9348.15,false
286,46,$5606.66,false
287,56,$4998.14,true
288,26,$4202.43,false
289,38,$3615.79,true
290,41,$2079.77,true
291,24,$14666.54,false
292,22,$8645.84,true
293,25,$6805.35,false
294,66,$13725.71,false
295,24,$8628.64,false
296,29,$8630.41,true
297,66,$13690.26,true
298,46,$2137.84,false
299,29,$2874.72,true
300,44,$13225.12,true
301,64,$11850.72,true
302,31,$4562.21,true
303,37,$8468.33,true
304,33,$6659.38,true
305,46,$8218.11,false
306,52,$11864.07,false
307,25,$6554.14,false
308,30,$3367.22,false
309,57,$14006.87,true
310,35,$14708.60,true
311,61,$10481.69,false
312,46,$12647.77,false
313,20,$2963.97,false
314,67,$4499.33,true
315,57,$4624.77,true
316,23,$10027.06,true
317,46,$8584.24,false
318,46,$9321.41,false
319,25,$11553.32,false
320,50,$5108.59,true
321,51,$13409.03,true
322,43,$11865.62,false
323,37,$10048.89,true
324,25,$10351.89,true
325,57,$6620.01,false
326,28,$10697.52,false
327,64,$3427.13,true
328,40,$2903.37,false
329,18,$14706.04,false
330,42,$7341.85,false
331,19,$14848.05,false
332,40,$10285.09,true
333,39,$5206.07,false
334,46,$10979.78,false
335,23,$2646.90,true
336,42,$9459.22,true
337,36,$6232.58,true
338,44,$10144.22,false
339,60,$10322.47,false
340,27,$7426.40,false
341,62,$14810.16,false
342,53,$9779.37,true
343,47,$13387.84,true
344,29,$14474.67,false
345,55,$5691.03,true
346,70,$13989.39,true
347,49,$12316.73,false
348,38,$9698.99,true
349,69,$9470.91,false
350,64,$6868.89,false
351,34,$3911.47,false
352,34,$5154.89,false
353,44,$12812.74,false
354,40,$9501.12,true
355,22,$13121.91,false
356,43,$7485.89,true
357,34,$10252.84,true
358,66,$3638.64,true
359,44,$7776.20,true
360,68,$6845.37,true
361,53,$14479.18,true
362,42,$6113.31,false
363,40,$2172.47,false
364,35,$7881.35,true
365,59,$4568.24,false
366,55,$10889.17,false
367,22,$5858.45,false
368,42,$9757.90,false
369,23,$4594.77,true
370,53,$2275.69,true
371,28,$12180.66,true
372,65,$10723.20,true
373,37,$8744.85,false
374,40,$9666.28,false
375,32,$12995.75,false
